term_str,PC1,PC2,PC3,PC4,PC5
abdul,5.952565967295528e-05,1.1325625998105036e-05,-2.1770536792791982e-05,-5.770644312690593e-05,0.0001244890759986134
abdullah,-0.002344168392907789,-0.0021500436418854705,-0.001411367515712173,0.0025781043905406284,-0.002561151585987502
abe,-0.004673421449440898,-0.004499488394917682,-0.004210277873435884,0.005966590760109156,-0.003293498943790231
abeam,-0.00010192036490903101,-9.348015834284352e-05,-6.136380503096206e-05,0.00011209149524089339,-0.0001113544167820618
abeba,0.0006518931990175117,3.52561124087399e-05,0.00012573713261096434,7.719366024906155e-05,-0.00047866760072769724
abed,-0.0004182234860446412,-0.0003759494258349252,-0.001363053475275359,-0.002138330568444867,0.0004774040828058035
aberration,-0.0002861609654197412,0.0007756564835883211,0.0002553987196527354,0.00015346688470335774,-0.00014932055386322448
abetted,0.0006285400834805403,-4.695442482895734e-05,0.0002339259190048361,-0.0001327903244630166,-0.0007873638941865548
abetting,-8.57468155214329e-05,-5.3624208126323745e-05,-6.342015592440105e-05,2.1360412936196166e-06,1.5694597966550372e-05
abeyance,-0.0007762191622335781,-0.0010735034630642158,-0.0017139468710146199,0.004810978933869921,-0.0008664581726820697
abhorrence,0.0003767770088847459,-5.028869371387219e-05,8.400785890521733e-05,-0.00020198989260567288,-0.0006743429676103412
abhorrent,0.0008710637118984244,0.00011283887769188214,0.0002168560543789679,0.00010034009043203448,-0.00016313600686159956
abide,0.0011291271553814175,0.0006916384385756416,0.00043344698383915265,0.00027322453021981556,-0.00020533166501641176
abided,0.0006351642950150988,-6.322170727299375e-05,0.00028031568028460084,-8.905922370758195e-05,-0.0009947180436510738
abides,0.0003866504066591803,0.00011313597759912025,6.43370423047315e-05,0.0002129972165518579,0.00037032471024442447
abiding,0.000352112636343407,-0.00014075236876364813,-0.00021445824066211437,0.0005038609096749123,-0.001055985363193557
abigor,-7.609270085812403e-05,-7.208458519482152e-05,-6.073725767918939e-05,5.6353574502813805e-05,7.066945172954182e-05
abilene,-0.00010192036490903101,-9.348015834284352e-05,-6.136380503096206e-05,0.00011209149524089339,-0.0001113544167820618
ability,0.0013440886922883933,-0.0010653515549607442,-0.0001680654957215195,0.000459635765947345,0.0035915547452607228
abject,0.00037766921711724396,-0.0006758837215503027,0.0016276236065393091,-4.0165250443176504e-05,-0.0008306115116758479
abjectly,-0.00037590908309392064,-0.0002557894233689267,-0.0005049496054451613,-0.0003133810627527376,0.00013213848373496277
ablaze,-0.00039528908074000247,-0.0022173460043344293,0.005517116627747022,0.0007238118566409979,0.001034406799061156
able,-0.006426446353432555,-0.0025478752100762227,-0.0011756176833319259,0.0035307973807398967,-0.007116833518459677
ablest,0.00041473382706976676,0.00011720237102788004,5.76059256341975e-05,0.00023352450052461073,0.0004751067148122144
ably,0.0004044264366772321,9.28557291422461e-05,-4.44412778873231e-05,-1.545970109879274e-05,0.0004340440985794584
