book_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
18460,0.6913487147034524,0.16574853059577196,0.14277229183320905,4.35556816262984e-05,4.345189768739973e-05,4.345528825278895e-05
18584,0.7412270825021016,0.22579019690576432,2.249059389880827e-05,0.03291524477113025,2.2501106803874457e-05,2.2484120301346704e-05
18632,0.6217468043058579,0.06632275788150763,8.025560422372605e-05,8.020375513582917e-05,0.07726102400605366,0.23450895444722122
18641,0.458756584235248,3.114625217327658e-05,0.014599578699095523,3.115795384225927e-05,0.5265504215007689,3.111135887186064e-05
18800,1.4598220333623826e-05,1.4605865364407871e-05,0.004265124511204465,0.9956765219883629,1.4570924944608553e-05,1.4578489790051351e-05
18807,0.045427813213764025,4.5830043627721004e-05,4.587097500236783e-05,4.584891669503824e-05,0.9543888438962326,4.5792954678262955e-05
18814,0.23381262344432865,0.011078008970138503,0.027418533508491817,0.10291791023631654,0.6237386453280687,0.0010342785126557098
18831,0.4320010007245624,0.09387359559151809,5.2091520860160287e-05,0.47396929064831156,5.1955749965255364e-05,5.206576478251758e-05
18855,0.9159809212767513,0.06903451489138517,0.01488769611752378,3.230955187222134e-05,3.225034180659273e-05,3.230782066076498e-05
18861,2.843575691266512e-05,2.845131798883422e-05,0.04708638801995934,0.9527999475346179,2.8372262507422076e-05,2.8405108013808455e-05
18949,0.15286761794265186,3.211370649230439e-05,3.2063885394047305e-05,0.8470039971796776,3.213622919377222e-05,3.207105659040681e-05
19067,2.785160967616637e-05,0.0801175039531808,0.012529753709714467,0.9072692816785336,2.7777660683861934e-05,2.7831388210957428e-05
19076,0.9998939166507118,2.1241122656747432e-05,2.1237786395526504e-05,2.1215049899733396e-05,2.118471690227569e-05,2.120467343385416e-05
19102,0.06517335006099662,0.020463475853029406,0.08431771180112159,0.8299364537682702,5.450274613409019e-05,5.4505770448024105e-05
19338,0.8124806781362041,0.050158435002996826,0.1372448774552674,3.867528676037351e-05,3.865544074840957e-05,3.867867802290509e-05
19362,6.161705327451905e-05,0.47350249451256504,0.005340356663933523,6.150956476203615e-05,0.5209724514472848,6.157075818002345e-05
19370,9.052748358859401e-06,9.04273653658213e-06,9.044303097590378e-06,0.9999547944529285,9.02771380458441e-06,9.038045273973862e-06
19445,0.9962365122412066,0.00264801643934038,0.0010514615636955584,2.135822197942189e-05,2.1328315271334097e-05,2.1323218506761566e-05
19474,6.661483701684857e-06,6.664400472028443e-06,6.656360448521581e-06,0.9999667237778329,6.643355302035006e-06,6.650622242704694e-06
19478,0.5150407126705134,6.2754272547997635e-06,6.274365354614496e-06,6.284652620326194e-06,6.266658594100283e-06,0.4849341862256627
20121,0.2594464405187894,1.1629224193919451e-05,1.1645493161810737e-05,1.1635797793199026e-05,1.162047778096561e-05,0.7405070284882808
20649,0.9984176138517883,0.0014983274371052537,2.1040796809136526e-05,2.1029807084251754e-05,2.0980198195319015e-05,2.1007909017711727e-05
20659,0.23228202760948158,2.1304726941453635e-05,2.1335383481604854e-05,2.134133139821322e-05,0.7676326829989214,2.1307949775826317e-05
20726,0.27664522323768415,1.7076796388809212e-05,1.7093676019461463e-05,1.70928183104813e-05,0.7232864306016781,1.7082869919124152e-05
20727,0.9999728027390172,5.447779144285762e-06,5.442394656338425e-06,5.437082756476219e-06,5.429720599178884e-06,5.440283826479155e-06
20728,0.23985943242520122,5.402310092753731e-06,0.00045856800058932044,5.410001731004179e-06,5.4038005022830455e-06,0.7596657834618834
